Table Name,Column Name,Data Type,Key Type,Description,Color Group
auth.users,id,uuid,PK,User authentication ID,#4A90E2
auth.users,email,text,UNIQUE,User email,#4A90E2
auth.users,encrypted_password,text,,Hashed password,#4A90E2
auth.users,created_at,timestamptz,,Account creation timestamp,#4A90E2
user_profiles,id,uuid,PK|FK,References auth.users(id),#4A90E2
user_profiles,first_name,varchar,,User first name,#4A90E2
user_profiles,last_name,varchar,,User last name,#4A90E2
user_profiles,email,varchar,UNIQUE,User email,#4A90E2
user_profiles,phone_number,varchar,,Contact number,#4A90E2
user_profiles,user_type,varchar,,"customer | mechanic | talyer_owner | admin",#4A90E2
user_profiles,profile_image_url,text,,Profile photo URL,#4A90E2
user_profiles,current_latitude,numeric,,Current location (lat),#4A90E2
user_profiles,current_longitude,numeric,,Current location (lng),#4A90E2
user_profiles,shop_id,uuid,FK,References shops(id),#4A90E2
user_profiles,status,varchar,,"'active', 'suspended', 'banned'",#4A90E2
shops,id,uuid,PK,Shop ID,#4A90E2
shops,owner_id,uuid,FK|UNIQUE,References user_profiles(id),#4A90E2
shops,shop_name,varchar,,Shop business name,#4A90E2
shops,shop_address,text,,Physical address,#4A90E2
shops,shop_phone,text,,Contact number,#4A90E2
shops,shop_email,text,,Business email,#4A90E2
shops,latitude,numeric,,Shop location (lat),#4A90E2
shops,longitude,numeric,,Shop location (lng),#4A90E2
shops,service_radius,numeric,,Coverage area (km),#4A90E2
shops,business_hours,jsonb,,Operating schedule,#4A90E2
shops,current_status,varchar,,"'open', 'closed', 'busy'",#4A90E2
shops,rating,numeric,,Average rating,#4A90E2
shops,is_active,boolean,,Active status,#4A90E2
service_providers,id,uuid,PK,Provider ID,#4A90E2
service_providers,user_id,uuid,FK|UNIQUE,References user_profiles(id),#4A90E2
service_providers,shop_id,uuid,FK,References shops(id),#4A90E2
service_providers,talyer_owner_id,uuid,FK,References user_profiles(id),#4A90E2
service_providers,company_name,varchar,,Business name,#4A90E2
service_providers,rating,numeric,,Average rating,#4A90E2
service_providers,service_radius,numeric,,Service area (km),#4A90E2
service_providers,is_verified,boolean,,Verification status,#4A90E2
